S_No,Neighborhood,lat,lon,pop2016,indo_aryan,punjabi,%pop
1,West Humber-Clairville,43.7551737678062,-79.6270791150174,33312,8710,4925,40.93
2,Thorncliffe Park,43.7086827404714,-79.3493702984418,21108,7140,435,35.89
3,Humber Summit,43.7578858629545,-79.5590632829411,12416,2615,975,28.91
4,Mount Olive-Silverstone-Jamestown,43.7423753864599,-79.5881625067994,32954,6870,2635,28.84
5,Taylor-Massey,43.7454334369572,-79.2845135307974,15683,4065,100,26.56
6,Oakridge,43.6987382682508,-79.2747905195456,13845,3465,60,25.46
7,Thistletown-Beaumond Heights,43.7431048059037,-79.5712242872394,10360,1640,660,22.20
8,Flemingdon Park,43.719912098612,-79.3313301047444,21933,4245,140,19.99
9,Woburn,43.7811103520953,-79.2320257393085,53485,9700,440,18.96
10,Humbermede,43.7408906135568,-79.5392385774582,15545,2130,715,18.30
11,Malvern,43.8129526821354,-79.2214723956936,43794,5705,695,14.61
12,Regent Park,43.6606733935832,-79.3621008826404,10803,1470,30,13.89
13,Clairlea-Birchmount,43.717800692944,-79.282708326191,26984,3555,145,13.71
14,Scarborough Village,43.7407316064519,-79.2171951977523,16724,2065,105,12.98
15,Bendale,43.7686275345892,-79.2491644190568,29960,3300,200,11.68
16,Kennedy Park,43.7267492543341,-79.2539269331528,17123,1750,60,10.57
17,Kingsview Village-The Westway,43.702472707744,-79.5518303637749,22000,1985,320,10.48
18,Highland Creek,43.7919388865231,-79.1738063306176,12494,1045,195,9.92
19,North St. James Town,43.6714169580617,-79.3732865752573,18615,1720,105,9.80
20,Rouge,43.8104637361629,-79.1651654273039,46496,3825,655,9.64
21,Dorset Park,43.7699700862083,-79.281026123522,25003,2275,125,9.60
22,Henry Farm,43.7713401846418,-79.3464308328481,15723,1415,75,9.48
23,Cliffcrest,43.7270094697492,-79.2261625217986,15935,1385,40,8.94
24,Morningside,43.7846867136664,-79.2049477227445,17455,1400,125,8.74
25,Victoria Village,43.7377598737548,-79.3125405660657,17510,1445,50,8.54
26,Ionview,43.7326209068788,-79.2740460977679,13641,1055,35,7.99
27,Rexdale-Kipling,43.7267927640631,-79.5695669845509,10529,655,140,7.55
28,West Hill,43.7708429791144,-79.1820718612285,27392,1895,135,7.41
29,York University Heights,43.7704113502766,-79.4769935714578,27593,1710,265,7.16
30,Eglinton East,43.739258311408,-79.2462527182278,22776,1520,80,7.02
31,Agincourt South-Malvern West,43.7909231042342,-79.2422605399796,23757,1500,165,7.01
32,Willowridge-Martingrove-Richview,43.6856329230861,-79.5552814694567,22156,1250,200,6.54
33,Maple Leaf,43.7157120573632,-79.4791102331591,10111,585,70,6.48
34,Centennial Scarborough,43.7834463131071,-79.1484041409649,13362,720,75,5.95
35,'Tam O''Shanter-Sullivan',43.7827286521763,-79.2982867102863,27446,1535,65,5.83
37,East End-Danforth,43.6801897441561,-79.3091109739732,21381,995,105,5.14
38,Greenwood-Coxwell,43.674003925399,-79.3222344115962,14417,630,110,5.13
39,'O''Connor-Parkview',43.7078894774042,-79.3100562433422,18675,920,35,5.11
40,Blake-Jones,43.6768075254975,-79.3382495416579,7727,355,30,4.98
41,Parkwoods-Donalda,43.7621031587463,-79.3275548649149,34805,1615,65,4.83
42,Wexford/Maryvale,43.7640845071249,-79.3000331395382,27917,1255,90,4.82
43,Don Valley Village,43.7889263467306,-79.3526992897409,27051,1200,95,4.79
44,Elms-Old Rexdale,43.7259536221305,-79.5483542933078,9456,385,65,4.76
45,'L''Amoreaux',43.8000993976027,-79.3159875776559,43993,1745,115,4.23
46,Etobicoke West Mall,43.6467236388596,-79.5689746275843,11848,460,35,4.18
47,Waterfront Communities-The Island,43.6471957447749,-79.3802425105516,65913,2405,340,4.16
48,Bay Street Corridor,43.662475782554,-79.3857590303082,25797,985,85,4.15
49,Danforth,43.6856562802759,-79.3211202139415,9666,370,30,4.14
50,Birchcliffe-Cliffside,43.7118684493682,-79.2467819615041,22291,880,40,4.13
51,Banbury-Don Mills,43.7387589287305,-79.3439914432585,27695,1065,40,3.99
52,Hillcrest Village,43.8064908795202,-79.3545684737167,16934,600,55,3.87
53,Pleasant View,43.7862695834272,-79.3334638499395,15818,540,55,3.76
54,Church-Yonge Corridor,43.7740775308596,-79.4129339025784,31340,1015,80,3.49
55,Islington-City Centre West,43.6352331834498,-79.5434195702455,43965,1380,155,3.49
56,Agincourt North,43.8095362796902,-79.2663146805796,29113,910,105,3.49
57,Keelesdale-Eglinton West,43.6864420721072,-79.4702655536525,11058,335,30,3.30
58,Moss Park,43.6552977675039,-79.3726234024756,20506,585,60,3.15
59,Brookhaven-Amesbury,43.6991484170644,-79.494014578469,17757,525,30,3.13
60,Guildwood,43.7544494614154,-79.1928006159725,9917,290,10,3.03
61,Eringate-Centennial-West Deane,43.661720089094,-79.5831579832044,18588,480,65,2.93
62,Dovercourt-Wallace Emerson-Junction,,,36625,860,185,2.85
63,Danforth East York,,,17180,445,40,2.82
64,Milliken,,,26572,635,110,2.80
65,Pelmo Park-Humberlea,,,10722,230,70,2.80
66,Willowdale East,,,50434,1240,60,2.58
67,Niagara,,,31180,645,140,2.52
68,St.Andrew-Windfields,,,17812,405,40,2.50
69,Steeles,,,24623,535,70,2.46
70,New Toronto,,,11463,235,35,2.36
71,Mimico (includes Humber Bay Shores),,,33964,670,120,2.33
72,Mount Pleasant West,,,29658,645,40,2.31
73,Dufferin Grove,,,11785,230,35,2.25
74,Glenfield-Jane Heights,,,30491,525,150,2.21
75,Bayview Village,,,21396,435,30,2.17
76,Woodbine Corridor,,,12541,240,30,2.15
77,Black Creek,,,21737,350,115,2.14
78,Beechborough-Greenbrook,,,6577,140,0,2.13
79,Yorkdale-Glen Park,,,14804,240,70,2.09
80,Old East York,,,9233,170,20,2.06
81,Newtonbrook East,,,16097,295,30,2.02
82,Weston-Pelham Park,,,11098,150,70,1.98
83,Lansing-Westgate,,,16164,295,20,1.95
84,Bayview Woods-Steeles,,,13154,230,25,1.94
85,Rockcliffe-Smythe,,,22246,360,65,1.91
86,Willowdale West,,,16936,295,25,1.89
87,South Parkdale,,,21849,375,35,1.88
88,Downsview-Roding-CFB,,,35052,555,90,1.84
89,Kensington-Chinatown,,,17945,295,35,1.84
90,Humber Heights-Westmount,,,10948,160,40,1.83
91,Alderwood,,,12054,205,15,1.83
92,Princess-Rosethorn,,,11051,170,30,1.81
93,University,,,7607,120,15,1.77
94,Mount Dennis,,,13593,200,40,1.77
95,Bathurst Manor,,,15873,245,30,1.73
96,Woodbine-Lumsden,,,7865,115,20,1.72
97,Broadview North,,,11499,190,5,1.70
98,Junction Area,,,14366,185,40,1.57
99,South Riverdale,,,27876,365,70,1.56
100,Cabbagetown-South St. James Town,,,11669,165,15,1.54
101,Westminster-Branson,,,26274,370,20,1.48
102,Annex,,,30526,400,50,1.47
103,High Park North,,,22162,295,25,1.44
104,Newtonbrook West,,,23831,315,20,1.41
105,Weston,,,17992,210,40,1.39
106,Roncesvalles,,,14974,200,5,1.37
107,Rustic,,,9941,110,25,1.36
108,Long Branch,,,10084,110,20,1.29
109,Yonge-St.Clair,,,12528,130,20,1.20
110,Bridle Path-Sunnybrook-York Mills,,,9266,95,15,1.19
111,Edenbridge-Humber Valley,,,15535,140,35,1.13
112,Rosedale-Moore Park,,,20923,225,10,1.12
113,Clanton Park,,,16472,145,35,1.09
114,Mount Pleasant East,,,16775,160,20,1.07
115,Yonge-Eglinton,,,11817,115,10,1.06
116,Casa Loma,,,10968,105,10,1.05
117,Stonegate-Queensway,,,25051,220,40,1.04
118,Corso Italia-Davenport,,,14133,105,35,0.99
119,High Park-Swansea,,,23925,215,20,0.98
120,Caledonia-Fairbank,,,9955,75,15,0.90
121,Forest Hill South,,,10732,75,20,0.89
122,Playter Estates-Danforth,,,7804,65,0,0.83
123,Markland Wood,,,10554,80,5,0.81
124,Humewood-Cedarvale,,,14365,105,10,0.80
125,North Riverdale,,,11916,85,10,0.80
126,Englemount-Lawrence,,,22372,160,15,0.78
127,Palmerston-Little Italy,,,13826,95,10,0.76
128,Lambton Baby Point,,,7985,50,10,0.75
129,Leaside-Bennington,,,16828,105,20,0.74
130,Wychwood,,,14349,80,25,0.73
131,Lawrence Park South,,,15179,100,10,0.72
132,Lawrence Park North,,,14607,90,10,0.68
133,Oakwood Village,,,21210,125,20,0.68
134,Little Portugal,,,15559,95,10,0.67
135,Kingsway South,,,9271,50,10,0.65
136,Forest Hill North,,,12806,75,5,0.62
137,Briar Hill-Belgravia,,,14257,70,15,0.60
138,The Beaches,,,21567,90,20,0.51
139,Bedford Park-Nortown,,,23236,100,10,0.47
140,Runnymede-Bloor West Village,,,10070,40,5,0.45
141,Trinity-Bellwoods,,,16556,55,15,0.42
,,,,,,,
36,City of Toronto,,,2731571,138625,19965,5.81
